video_name,phase,extraversion,neuroticism,agreeableness,conscientiousness,openness
J4GQm9j0JZ0.003.mp4,train,2,2,2,2,1
zEyRyTnIw5I.005.mp4,train,0,0,1,2,0
nskJh7v6v1U.004.mp4,train,0,0,0,1,1
6wHQsN5g2RM.000.mp4,train,1,1,1,0,0
dQOeQYWIgm8.000.mp4,train,3,1,0,2,2
eHcRre1YsNA.000.mp4,train,0,0,0,0,1
vZpneJlniAE.005.mp4,train,1,2,2,1,2
oANKg9_grdA.004.mp4,train,1,2,2,2,2
VuadgOz6T7s.000.mp4,train,0,0,0,0,0
7nhJXn9PI0I.001.mp4,train,0,0,0,0,0
tEQEKN07KgQ.001.mp4,train,0,0,1,0,0
I5x9T9ftW18.005.mp4,train,3,3,3,3,2
dh6iOU2RtTA.003.mp4,train,3,3,2,3,3
gsleSGEZHAs.004.mp4,train,0,2,2,2,2
vhugKRUnd-c.001.mp4,train,1,1,2,2,1
kn6I8LdQFN0.004.mp4,train,0,0,0,0,0
M5_x5J-H2I0.003.mp4,train,1,1,0,1,2
w_ExyXsnw2A.000.mp4,train,1,0,1,3,1
DnTtbAR_Qyw.004.mp4,train,3,2,2,2,2
rIHcq2E67Nc.005.mp4,train,3,3,0,1,3
De4i7-FX9Og.004.mp4,train,3,3,3,2,3
cA43Gfcg0QA.000.mp4,train,0,0,0,0,0
pZxqWp0e-Ik.000.mp4,train,0,0,1,0,0
D3AomvNhR1k.003.mp4,train,2,3,1,0,3
Fi1ILrwQpSY.003.mp4,train,1,2,2,0,2
Xfmu-7JuDGg.002.mp4,train,0,1,2,2,0
YzNbGMNr3z0.001.mp4,train,3,3,2,1,3
aFVFvJNnFt0.000.mp4,train,0,2,2,0,3
cgT-3CHBmKs.000.mp4,train,0,0,0,0,0
P_wDFLJnW-o.004.mp4,train,0,1,0,0,0
t0_DAgeU4nM.002.mp4,train,1,2,2,1,1
TTuysItuSdo.004.mp4,train,1,0,0,0,0
nUbhRInpVbA.004.mp4,train,1,0,1,1,1
kL-CeaXG9jM.004.mp4,train,1,1,2,1,1
